apartment_id,price,date,room_type,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,neighbourhood,district,latitude,longitude,host_id,host_since,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,wifi,tv,coffe_machine,dishwasher,terrace,bathtub,check_in_24h
63614,35,2019-04-10,House,2,1,1,$0.00,59,Hermsdorf,Reinickendorf,52.61913,13.31697,2354578,2012-05-12,within an hour,100%,FALSE,1,96,10,10,10,10,10,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86395,18,2019-01-18,Apartment,2,1,1,NA,19,Schöneberg,Tempelhof - Schöneberg,52.46195,13.34976,233890775,2019-01-02,within an hour,100%,FALSE,1,87,9,8,10,10,9,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91681,170,2019-03-17,Apartment,2,1,1,$40.00,76,Mitte,Mitte,52.52506,13.3968,20434496,2014-08-23,a few days or more,0%,FALSE,1,96,10,10,10,10,10,9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
68565,40,2019-09-14,Apartment,2,1,1,$11.00,45,Prenzlauer Berg,Pankow,52.53128,13.45188,172306339,2018-02-08,N/A,N/A,TRUE,1,100,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
86804,139,2019-07-03,Apartment,6,2,1,$60.00,26,Mitte,Mitte,52.51727,13.41814,2569632,2012-06-07,within an hour,100%,FALSE,8,97,10,10,9,9,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
88190,525,2019-02-27,Apartment,16,3,4,$135.00,54,Kreuzberg,Friedrichshain-Kreuzberg,52.49792,13.44472,190957759,2018-05-22,within an hour,100%,TRUE,18,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
59997,60,2019-05-24,Apartment,8,4,3,$30.00,56,Moabit,Mitte,52.53252,13.32607,133200232,2017-06-03,within an hour,100%,FALSE,2,98,10,10,10,10,9,10,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
25569,118,2019-01-25,Apartment,3,1,1,$50.00,60,Prenzlauer Berg,Pankow,52.54848,13.41095,125103048,2017-04-10,within an hour,100%,FALSE,1,93,9,9,10,10,10,9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
94829,79,2019-02-08,Apartment,3,1,1,$25.00,67,Mitte,Mitte,52.51721,13.38774,232941095,2018-12-28,within an hour,100%,TRUE,2,99,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
91451,50,2019-10-30,Camper/RV,2,1,1,NA,0,Kreuzberg,Friedrichshain-Kreuzberg,52.49171,13.44002,38463106,2015-07-14,within a few hours,100%,FALSE,2,84,9,9,9,10,9,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
97933,33,2019-01-20,Apartment,2,1,1,NA,12,Rummelsburg,Lichtenberg,52.50389,13.48933,114522128,2017-02-02,within a few hours,100%,TRUE,2,96,10,10,10,10,9,9,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
98724,38,2019-01-09,Apartment,2,1,1,NA,3,Moabit,Mitte,52.53106,13.32933,47641026,2015-10-28,within an hour,100%,FALSE,1,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26996,40,2020-02-24,Apartment,2,1,1,$10.00,36,Lichtenberg,Lichtenberg,52.51512,13.49273,8599516,2013-09-03,within an hour,100%,FALSE,0,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19348,75,2019-12-19,Apartment,4,0,1,$25.00,57,Kreuzberg,Friedrichshain-Kreuzberg,52.49921,13.38878,234510969,2019-01-05,within an hour,100%,FALSE,0,99,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
22808,75,2019-06-16,Apartment,4,1,1,$20.00,0,Friedrichshain,Friedrichshain-Kreuzberg,52.5136,13.44869,20722706,2014-08-30,within an hour,100%,FALSE,1,100,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
74602,39,2019-01-21,Apartment,2,1,1,NA,1,Prenzlauer Berg,Pankow,52.53321,13.4438,56791356,2016-01-31,within an hour,90%,TRUE,1,100,10,10,10,10,9,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66393,50,2019-06-10,Apartment,2,1,1,NA,0,Kreuzberg,Friedrichshain-Kreuzberg,52.50254,13.38823,190073525,2018-05-17,within an hour,100%,TRUE,0,95,10,9,10,10,10,9,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
65573,100,2019-03-24,Loft,10,1,1.5,$200.00,14,Neukölln,Neukölln,52.47607,13.45974,234762606,2019-01-06,within a few hours,100%,TRUE,1,100,9,9,10,10,9,10,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
54464,35,2019-01-29,Apartment,2,1,1,NA,48,Neukölln,Neukölln,52.48443,13.43455,234800552,2019-01-06,within an hour,100%,FALSE,1,95,9,9,10,10,10,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41518,40,2019-01-20,Boutique hotel,2,0,2,$10.00,84,Kreuzberg,Friedrichshain-Kreuzberg,52.48985,13.37955,5459494,2013-03-14,within an hour,96%,FALSE,6,90,9,9,9,9,9,9,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50259,25,2019-01-17,Apartment,1,1,1,$10.00,77,Wedding,Mitte,52.54682,13.34907,6790148,2013-06-07,within a few hours,93%,FALSE,5,89,9,9,10,9,10,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27129,55,2019-01-18,Boutique hotel,2,1,1,$10.00,79,Kreuzberg,Friedrichshain-Kreuzberg,52.48985,13.37955,5459494,2013-03-14,within an hour,96%,FALSE,6,91,9,9,9,9,9,9,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12064,100,2019-04-07,Apartment,8,2,1,$85.00,62,Friedrichshain,Friedrichshain-Kreuzberg,52.51308,13.45269,234930165,2019-01-07,within an hour,100%,FALSE,1,100,10,10,9,10,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
58377,59,2019-06-10,Apartment,4,1,1,$35.00,0,Neukölln,Neukölln,52.48874,13.43054,21085445,2014-09-08,within an hour,100%,FALSE,1,97,10,10,10,10,10,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19281,35,2019-02-24,Apartment,3,1,1.5,$0.00,0,Neukölln,Neukölln,52.48439,13.43763,16735023,2014-06-13,N/A,N/A,FALSE,2,80,7,6,9,9,9,7,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
89023,38,2019-02-28,Apartment,2,1,1,$39.00,9,Wilmersdorf,Charlottenburg-Wilm.,52.4995,13.32341,12694377,2014-03-01,within an hour,100%,FALSE,4,93,10,9,10,10,10,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
83193,65,2019-01-16,Apartment,2,1,1,$15.00,18,Mitte,Mitte,52.51189,13.41859,4713459,2013-01-15,within an hour,100%,TRUE,1,96,10,10,10,10,10,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61608,40,2019-01-12,Apartment,2,1,1,$20.00,32,Mitte,Mitte,52.51236,13.40905,235031879,2019-01-07,within a few hours,90%,TRUE,1,97,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10929,68,2019-01-27,Apartment,2,1,1,$0.00,57,Neukölln,Neukölln,52.46875,13.42709,235032226,2019-01-07,within an hour,100%,TRUE,1,99,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
14593,75,2019-02-18,Apartment,3,1,1,$20.00,65,Neukölln,Neukölln,52.47821,13.44709,235050125,2019-01-07,within an hour,100%,TRUE,1,98,10,10,10,10,10,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
86510,70,2019-01-13,Apartment,5,2,1,$70.00,62,Friedrichshain,Friedrichshain-Kreuzberg,52.50923,13.46516,235058174,2019-01-07,within an hour,100%,FALSE,2,94,10,10,10,10,10,10,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
67131,600,2019-02-03,Apartment,10,3,1.5,$125.00,66,Mitte,Mitte,52.52315,13.38748,1581930,2012-01-08,within an hour,100%,TRUE,2,97,10,10,9,9,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
